,A,B,C,D,E,F,G,H,I,J,K,L,batID,treatment,date,weight,totalconcentration,sugarproportion,sampleID
60,2.610187132,0,0,0,0,0,0,0,0,0,0.469905111,0,17,0,7/17/21,9.71,20.08009224,0.200800922,17_71721
61,2.290203603,0,0,0,0,0.198225127,0.237990149,0,0,0,0,0,18,2,7/17/21,11.45,20.72641888,0.207264189,18_71721
62,2.012261714,0,0,0,0,0.440667902,0.68991752,0,0,0,0.36660257,0,19,1.5,7/17/21,12.02,22.50944971,0.225094497,19_71721
63,1.684067361,0,0,0,0,0.605461631,0.630967025,0,0,0,0,0,10,1.5,7/18/21,12.38,12.92049602,0.12920496,10_71821
64,2.322939843,0,0,0,0,0.163259833,0.20220378,0,0,0,0.560441417,0,11,0.5,7/18/21,13.31,14.24884487,0.142488449,11_71821
65,2.701575072,0,0,0,0,0,0.216544674,0,0,0,0.440311797,0,12,0.1,7/18/21,9.36,15.35843154,0.153584315,12_71821
66,2.368526872,0,0,0,0,0.211015066,0.238170987,0,0,0,0,0,13,0,7/18/21,11.75,15.81771293,0.158177129,13_71821
67,1.79286705,0,0,0,0,0.158500704,0.279840363,0,0,0,0.307610871,0,14,2,7/18/21,12.39,16.53881899,0.16538819,14_71821
68,2.351127573,0,0,0,0,0.456787444,0.469311667,0,0,0,0,0,15,1.5,7/18/21,17.97,18.27722668,0.182772267,15_71821
69,2.319939048,0,0,0,0,0.206575203,0.300966001,0,0,0,0.287378667,0,16,0.5,7/18/21,15.62,19.11485892,0.191148589,16_71821
70,2.678583221,0,0,0,0,0.22055719,0.250120742,0,0,0,0.293348905,0,17,0.1,7/18/21,13.28,20.44261006,0.204426101,17_71821
71,2.032640989,0,0,0,0,0.155904582,0.183161325,0,0,0,0,0,18,0,7/18/21,12.83,20.3717069,0.203717069,18_71821
72,1.764524791,0,0,0,0,0.545726254,0.525694842,0,0,0,0,0,19,2,7/18/21,8.24,21.83594589,0.218359459,19_71821
73,1.815873879,0,0,0,0,0.47135126,0.614269014,0,0,0,0,0,10,2,7/19/21,13.98,12.90149415,0.129014942,10_71921
74,1.669456897,0,0,0,0,0.211747402,0.263010463,0,0,0,0,0,11,1.5,7/19/21,14.66,13.14421476,0.131442148,11_71921
75,2.497259373,0,0,0,0,0.156571303,0.299969402,0,0,0,0,0,12,0.5,7/19/21,12.05,14.95380008,0.149538001,12_71921
76,2.69200558,0,0,0,0,0.211939464,0.234084155,0,0,0,0,0,13,0.1,7/19/21,15.47,16.1380292,0.161380292,13_71921
77,1.848149613,0,0,0,0,0.300697712,0.410454128,0,0,0,0,0,14,0,7/19/21,14.19,16.55930145,0.165593015,14_71921
78,2.025734876,0,0,0,0,0.257889814,0.439859859,0,0,0,0,0,15,2,7/19/21,10.59,17.72348455,0.177234845,15_71921
79,1.916088445,0,0,0,0,0.210848967,0.240264062,0,0,0,0,0,16,1.5,7/19/21,15.08,18.36720147,0.183672015,16_71921
80,2.034261806,0,0,0,0,0.200502565,0.3749548,0,0,0,0,0,17,0.5,7/19/21,13.03,19.60971917,0.196097192,17_71921
81,1.70503448,0,0,0,0,0.212294209,0.315149182,0,0,0,0,0,18,0.1,7/19/21,15.14,20.23247787,0.202324779,18_71921
82,1.764535137,0,0,0,0,0.891433981,0.791090231,0,0,0,0,0,19,0,7/19/21,14.15,22.44705935,0.224470593,19_71921
